landlord_id,title,city,region,address,bedrooms,bathrooms,area,price,total_floors,orientation,decoration,description,status,view_count,created_at
20,Liuhe 南北通透户型,Nanjing,Liuhe,Liuhe,2,1,60,4241,19,north,rough,2室1卫，面积 60 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-09
21,Guangzhou Huangpu 地铁房,Guangzhou,Huangpu,Huangpu,2,1,72,4715,19,east,rough,2室1卫，面积 72 平米，rough装修，east朝向，拎包入住。,available,0,2022-07-02
22,Lin'an 舒适两居室,Hangzhou,Lin'an,Lin'an,2,1,73,3422,16,east,rough,2室1卫，面积 73 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-14
23,Fengtai 南北通透户型,Beijing,Fengtai,Fengtai,1,1,66,8151,11,north,rough,1室1卫，面积 66 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-15
24,Wenjiang 拎包入住公寓,Chengdu,Wenjiang,Wenjiang,3,1,179,7440,15,west,rough,3室1卫，面积 179 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-15
25,Yunan 拎包入住公寓,Chongqing,Yunan,Yunan,1,1,55,4736,20,east,simple,1室1卫，面积 55 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-28
26,出租 Putuo 精装房,Shanghai,Putuo,Putuo,2,1,52,4923,24,west,rough,2室1卫，面积 52 平米，rough装修，west朝向，拎包入住。,available,0,2022-05-22
27,Dapeng 拎包入住公寓,Shenzhen,Dapeng,Dapeng,1,1,61,6217,28,east,simple,1室1卫，面积 61 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-18
28,精致 Wuchang 公寓,Wuhan,Wuchang,Wuchang,2,1,59,4392,11,east,simple,2室1卫，面积 59 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-25
29,出租 Lianhu 精装房,Xi'an,Lianhu,Lianhu,2,2,109,6033,18,south,rough,2室2卫，面积 109 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-22
30,Liuhe 学区房出租,Nanjing,Liuhe,Liuhe,2,1,72,3786,13,west,rough,2室1卫，面积 72 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-25
31,精致 Huangpu 公寓,Guangzhou,Huangpu,Huangpu,1,2,79,6078,14,south,rough,1室2卫，面积 79 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-21
32,Hangzhou Gongshu 地铁房,Hangzhou,Gongshu,Gongshu,2,1,113,12303,24,east,rough,2室1卫，面积 113 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-26
33,BeijingChaoyang 温馨好房,Beijing,Chaoyang,Chaoyang,2,2,84,13888,13,north,simple,2室2卫，面积 84 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-16
34,Qingbaijiang 拎包入住公寓,Chengdu,Qingbaijiang,Qingbaijiang,2,2,83,5748,17,east,rough,2室2卫，面积 83 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-29
35,出租 Jiulongpo 精装房,Chongqing,Jiulongpo,Jiulongpo,3,1,129,5411,23,south,rough,3室1卫，面积 129 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-10
36,精致 Huangpu 公寓,Shanghai,Huangpu,Huangpu,2,1,79,13589,7,east,simple,2室1卫，面积 79 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-12
37,Shenzhen Pingshan 地铁房,Shenzhen,Pingshan,Pingshan,2,1,53,3962,7,north,rough,2室1卫，面积 53 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-03
38,Dongxihu 拎包入住公寓,Wuhan,Dongxihu,Dongxihu,2,1,79,4183,13,north,rough,2室1卫，面积 79 平米，rough装修，north朝向，拎包入住。,available,0,2022-05-31
39,Xi'an Lianhu 地铁房,Xi'an,Lianhu,Lianhu,2,1,49,2024,17,north,simple,2室1卫，面积 49 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-10
40,精致 Jiangning 公寓,Nanjing,Jiangning,Jiangning,1,1,44,2644,28,east,simple,1室1卫，面积 44 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-24
41,Panyu 舒适两居室,Guangzhou,Panyu,Panyu,2,2,57,4390,30,east,simple,2室2卫，面积 57 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-29
42,HangzhouQiantang 温馨好房,Hangzhou,Qiantang,Qiantang,3,1,128,13726,23,south,fine,3室1卫，面积 128 平米，fine装修，south朝向，拎包入住。,available,0,2022-05-12
43,Chaoyang 舒适两居室,Beijing,Chaoyang,Chaoyang,1,1,66,7435,33,north,rough,1室1卫，面积 66 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-26
44,出租 Shuangliu 精装房,Chengdu,Shuangliu,Shuangliu,2,1,83,6673,18,south,simple,2室1卫，面积 83 平米，simple装修，south朝向，拎包入住。,available,0,2022-04-30
45,出租 Yubei 精装房,Chongqing,Yubei,Yubei,1,1,77,5213,32,north,simple,1室1卫，面积 77 平米，simple装修，north朝向，拎包入住。,available,0,2022-05-27
46,Jing-an 南北通透户型,Shanghai,Jing-an,Jing-an,2,1,77,8405,6,south,simple,2室1卫，面积 77 平米，simple装修，south朝向，拎包入住。,available,0,2022-06-06
47,Futian 南北通透户型,Shenzhen,Futian,Futian,2,1,119,11298,32,south,simple,2室1卫，面积 119 平米，simple装修，south朝向，拎包入住。,available,0,2022-05-20
48,WuhanQingshan 温馨好房,Wuhan,Qingshan,Qingshan,2,2,98,3011,31,west,rough,2室2卫，面积 98 平米，rough装修，west朝向，拎包入住。,available,0,2022-07-02
49,出租 Weiyang 精装房,Xi'an,Weiyang,Weiyang,3,1,75,4012,16,north,simple,3室1卫，面积 75 平米，simple装修，north朝向，拎包入住。,available,0,2022-05-26
50,NanjingXuanwu 温馨好房,Nanjing,Xuanwu,Xuanwu,3,1,135,7250,10,east,simple,3室1卫，面积 135 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-12
51,Huangpu 学区房出租,Guangzhou,Huangpu,Huangpu,1,1,47,4510,21,west,fine,1室1卫，面积 47 平米，fine装修，west朝向，拎包入住。,available,0,2022-06-22
52,出租 Shangcheng 精装房,Hangzhou,Shangcheng,Shangcheng,1,2,37,1789,23,north,rough,1室2卫，面积 37 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-25
53,Beijing Shunyi 地铁房,Beijing,Shunyi,Shunyi,2,1,116,10917,33,north,rough,2室1卫，面积 116 平米，rough装修，north朝向，拎包入住。,available,0,2022-07-03
54,精致 Jinjiang 公寓,Chengdu,Jinjiang,Jinjiang,2,1,81,6702,34,south,rough,2室1卫，面积 81 平米，rough装修，south朝向，拎包入住。,available,0,2022-04-23
55,Yongchuan 舒适两居室,Chongqing,Yongchuan,Yongchuan,2,1,90,3598,13,east,simple,2室1卫，面积 90 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-14
56,ShanghaiHuangpu 温馨好房,Shanghai,Huangpu,Huangpu,1,1,33,3230,24,west,rough,1室1卫，面积 33 平米，rough装修，west朝向，拎包入住。,available,0,2022-05-27
57,Luohu 南北通透户型,Shenzhen,Luohu,Luohu,2,2,113,5642,23,south,rough,2室2卫，面积 113 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-19
58,精致 Caidian 公寓,Wuhan,Caidian,Caidian,2,2,51,3937,18,north,simple,2室2卫，面积 51 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-19
59,出租 Chang'an 精装房,Xi'an,Chang'an,Chang'an,2,1,108,5433,26,east,simple,2室1卫，面积 108 平米，simple装修，east朝向，拎包入住。,available,0,2022-07-02
60,Nanjing Jianye 地铁房,Nanjing,Jianye,Jianye,2,1,84,7496,25,east,simple,2室1卫，面积 84 平米，simple装修，east朝向，拎包入住。,available,0,2022-07-06
61,Nansha 学区房出租,Guangzhou,Nansha,Nansha,1,1,35,2043,9,north,rough,1室1卫，面积 35 平米，rough装修，north朝向，拎包入住。,available,0,2022-07-02
62,Fuyang 拎包入住公寓,Hangzhou,Fuyang,Fuyang,3,1,121,12927,33,south,rough,3室1卫，面积 121 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-21
63,Tongzhou 学区房出租,Beijing,Tongzhou,Tongzhou,2,1,61,4818,8,east,rough,2室1卫，面积 61 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-04
64,Chengdu Chenghua 地铁房,Chengdu,Chenghua,Chenghua,3,2,114,5978,10,south,simple,3室2卫，面积 114 平米，simple装修，south朝向，拎包入住。,available,0,2022-06-24
65,精致 Shapingba 公寓,Chongqing,Shapingba,Shapingba,1,2,73,3930,29,west,simple,1室2卫，面积 73 平米，simple装修，west朝向，拎包入住。,available,0,2022-05-14
66,出租 Putuo 精装房,Shanghai,Putuo,Putuo,2,1,111,9944,14,east,rough,2室1卫，面积 111 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-26
67,ShenzhenLonggang 温馨好房,Shenzhen,Longgang,Longgang,1,1,35,4129,27,east,rough,1室1卫，面积 35 平米，rough装修，east朝向，拎包入住。,available,0,2022-07-02
68,精致 Qiaokou 公寓,Wuhan,Qiaokou,Qiaokou,2,2,48,2089,26,west,simple,2室2卫，面积 48 平米，simple装修，west朝向，拎包入住。,available,0,2022-05-05
69,精致 Lintong 公寓,Xi'an,Lintong,Lintong,2,1,110,5269,20,east,rough,2室1卫，面积 110 平米，rough装修，east朝向，拎包入住。,available,0,2022-05-18
70,Pukou 学区房出租,Nanjing,Pukou,Pukou,1,1,45,2622,17,north,rough,1室1卫，面积 45 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-07
71,Guangzhou Haizhu 地铁房,Guangzhou,Haizhu,Haizhu,1,1,60,6308,34,east,rough,1室1卫，面积 60 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-07
72,Yuhang 拎包入住公寓,Hangzhou,Yuhang,Yuhang,2,1,90,11631,22,east,simple,2室1卫，面积 90 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-26
73,BeijingTongzhou 温馨好房,Beijing,Tongzhou,Tongzhou,2,2,88,12507,21,north,simple,2室2卫，面积 88 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-26
74,出租 Shuangliu 精装房,Chengdu,Shuangliu,Shuangliu,2,2,112,3741,19,south,rough,2室2卫，面积 112 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-30
75,精致 Yongchuan 公寓,Chongqing,Yongchuan,Yongchuan,3,1,80,4949,24,south,rough,3室1卫，面积 80 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-22
76,Pudong 拎包入住公寓,Shanghai,Pudong,Pudong,2,1,55,6792,11,west,simple,2室1卫，面积 55 平米，simple装修，west朝向，拎包入住。,available,0,2022-06-18
77,Luohu 南北通透户型,Shenzhen,Luohu,Luohu,2,2,112,10759,17,north,rough,2室2卫，面积 112 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-08
78,Wuhan Jiangxia 地铁房,Wuhan,Jiangxia,Jiangxia,1,1,56,3914,10,east,simple,1室1卫，面积 56 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-25
79,Lintong 拎包入住公寓,Xi'an,Lintong,Lintong,2,1,63,2435,10,south,rough,2室1卫，面积 63 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-03
80,Liuhe 南北通透户型,Nanjing,Liuhe,Liuhe,1,2,32,2050,35,west,rough,1室2卫，面积 32 平米，rough装修，west朝向，拎包入住。,available,0,2022-05-12
81,GuangzhouPanyu 温馨好房,Guangzhou,Panyu,Panyu,3,2,150,18184,12,north,simple,3室2卫，面积 150 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-01
82,Hangzhou Gongshu 地铁房,Hangzhou,Gongshu,Gongshu,1,1,52,6507,22,north,simple,1室1卫，面积 52 平米，simple装修，north朝向，拎包入住。,available,0,2022-05-23
83,Beijing Daxing 地铁房,Beijing,Daxing,Daxing,2,1,54,5806,25,east,fine,2室1卫，面积 54 平米，fine装修，east朝向，拎包入住。,available,0,2022-05-23
84,Qingyang 学区房出租,Chengdu,Qingyang,Qingyang,6,3,187,12461,30,east,simple,6室3卫，面积 187 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-21
85,ChongqingJiangbei 温馨好房,Chongqing,Jiangbei,Jiangbei,2,1,95,6411,14,west,fine,2室1卫，面积 95 平米，fine装修，west朝向，拎包入住。,available,0,2022-06-22
86,Huangpu 舒适两居室,Shanghai,Huangpu,Huangpu,1,1,60,8063,35,south,rough,1室1卫，面积 60 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-27
87,出租 Yantian 精装房,Shenzhen,Yantian,Yantian,2,2,104,10118,13,north,simple,2室2卫，面积 104 平米，simple装修，north朝向，拎包入住。,available,0,2022-05-07
88,Wuchang 舒适两居室,Wuhan,Wuchang,Wuchang,2,1,70,4685,17,west,fine,2室1卫，面积 70 平米，fine装修，west朝向，拎包入住。,available,0,2022-06-25
89,Beilin 拎包入住公寓,Xi'an,Beilin,Beilin,2,1,79,2516,7,north,rough,2室1卫，面积 79 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-27
90,Jiangning 拎包入住公寓,Nanjing,Jiangning,Jiangning,2,1,64,4711,30,east,simple,2室1卫，面积 64 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-31
91,Guangzhou Liwan 地铁房,Guangzhou,Liwan,Liwan,2,2,67,3994,12,south,rough,2室2卫，面积 67 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-03
92,出租 Lin'an 精装房,Hangzhou,Lin'an,Lin'an,2,2,71,8043,6,north,simple,2室2卫，面积 71 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-27
93,出租 Chaoyang 精装房,Beijing,Chaoyang,Chaoyang,1,1,56,8208,22,west,fine,1室1卫，面积 56 平米，fine装修，west朝向，拎包入住。,available,0,2022-05-15
94,Chenghua 学区房出租,Chengdu,Chenghua,Chenghua,1,1,44,2643,25,west,rough,1室1卫，面积 44 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-09
95,ChongqingBishan 温馨好房,Chongqing,Bishan,Bishan,2,1,56,3780,32,east,fine,2室1卫，面积 56 平米，fine装修，east朝向，拎包入住。,available,0,2022-04-28
96,Minhang 舒适两居室,Shanghai,Minhang,Minhang,1,2,72,5010,13,east,rough,1室2卫，面积 72 平米，rough装修，east朝向，拎包入住。,available,0,2022-05-23
97,ShenzhenLuohu 温馨好房,Shenzhen,Luohu,Luohu,2,1,114,13392,33,north,fine,2室1卫，面积 114 平米，fine装修，north朝向，拎包入住。,available,0,2022-06-28
98,精致 Hongshan 公寓,Wuhan,Hongshan,Hongshan,2,1,81,5217,20,west,simple,2室1卫，面积 81 平米，simple装修，west朝向，拎包入住。,available,0,2022-06-23
99,Baqiao 南北通透户型,Xi'an,Baqiao,Baqiao,4,2,132,5615,21,west,rough,4室2卫，面积 132 平米，rough装修，west朝向，拎包入住。,available,0,2022-04-29
100,Qinhuai 拎包入住公寓,Nanjing,Qinhuai,Qinhuai,2,2,48,3068,31,west,simple,2室2卫，面积 48 平米，simple装修，west朝向，拎包入住。,available,0,2022-06-13
1,Tianhe 学区房出租,Guangzhou,Tianhe,Tianhe,3,1,85,5905,15,west,rough,3室1卫，面积 85 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-13
2,Gongshu 南北通透户型,Hangzhou,Gongshu,Gongshu,4,2,203,19379,32,east,rough,4室2卫，面积 203 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-13
3,Fengtai 南北通透户型,Beijing,Fengtai,Fengtai,3,1,106,13398,35,north,rough,3室1卫，面积 106 平米，rough装修，north朝向，拎包入住。,available,0,2022-05-14
4,出租 Wuhou 精装房,Chengdu,Wuhou,Wuhou,2,1,62,5376,20,south,fine,2室1卫，面积 62 平米，fine装修，south朝向，拎包入住。,available,0,2022-07-06
5,精致 Yubei 公寓,Chongqing,Yubei,Yubei,2,1,116,3897,19,east,rough,2室1卫，面积 116 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-16
6,Shanghai Xuhui 地铁房,Shanghai,Xuhui,Xuhui,1,1,75,5499,18,south,rough,1室1卫，面积 75 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-06
7,Longgang 学区房出租,Shenzhen,Longgang,Longgang,2,1,82,8090,10,east,rough,2室1卫，面积 82 平米，rough装修，east朝向，拎包入住。,available,0,2022-07-04
8,Wuchang 南北通透户型,Wuhan,Wuchang,Wuchang,3,1,121,9060,30,west,rough,3室1卫，面积 121 平米，rough装修，west朝向，拎包入住。,available,0,2022-05-15
9,出租 Beilin 精装房,Xi'an,Beilin,Beilin,2,2,91,5386,21,south,rough,2室2卫，面积 91 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-04
10,Jianye 拎包入住公寓,Nanjing,Jianye,Jianye,1,1,80,9346,19,west,fine,1室1卫，面积 80 平米，fine装修，west朝向，拎包入住。,available,0,2022-04-25
11,出租 Nansha 精装房,Guangzhou,Nansha,Nansha,1,1,35,4117,17,east,simple,1室1卫，面积 35 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-21
12,Binjiang 学区房出租,Hangzhou,Binjiang,Binjiang,1,1,32,2057,29,south,rough,1室1卫，面积 32 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-27
13,Changping 学区房出租,Beijing,Changping,Changping,1,2,53,7500,19,north,simple,1室2卫，面积 53 平米，simple装修，north朝向，拎包入住。,available,0,2022-07-02
14,Jinjiang 舒适两居室,Chengdu,Jinjiang,Jinjiang,3,1,92,4389,19,west,rough,3室1卫，面积 92 平米，rough装修，west朝向，拎包入住。,available,0,2022-07-06
15,Jiangbei 学区房出租,Chongqing,Jiangbei,Jiangbei,3,1,117,5649,22,south,rough,3室1卫，面积 117 平米，rough装修，south朝向，拎包入住。,available,0,2022-04-28
16,出租 Changning 精装房,Shanghai,Changning,Changning,2,2,90,9942,15,east,rough,2室2卫，面积 90 平米，rough装修，east朝向，拎包入住。,available,0,2022-05-15
17,Yantian 南北通透户型,Shenzhen,Yantian,Yantian,1,1,74,4918,29,east,rough,1室1卫，面积 74 平米，rough装修，east朝向，拎包入住。,available,0,2022-05-30
18,WuhanQingshan 温馨好房,Wuhan,Qingshan,Qingshan,2,1,78,4899,31,east,rough,2室1卫，面积 78 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-10
19,Weiyang 拎包入住公寓,Xi'an,Weiyang,Weiyang,1,1,32,1879,8,west,fine,1室1卫，面积 32 平米，fine装修，west朝向，拎包入住。,available,0,2022-06-23
20,Pukou 拎包入住公寓,Nanjing,Pukou,Pukou,3,1,77,5502,16,west,rough,3室1卫，面积 77 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-09
21,Liwan 南北通透户型,Guangzhou,Liwan,Liwan,1,2,62,2692,28,east,rough,1室2卫，面积 62 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-19
22,Xihu 学区房出租,Hangzhou,Xihu,Xihu,2,2,109,8019,32,south,fine,2室2卫，面积 109 平米，fine装修，south朝向，拎包入住。,available,0,2022-07-03
23,BeijingChangping 温馨好房,Beijing,Changping,Changping,1,1,58,5710,12,north,rough,1室1卫，面积 58 平米，rough装修，north朝向，拎包入住。,available,0,2022-07-03
24,Wuhou 南北通透户型,Chengdu,Wuhou,Wuhou,2,2,110,4493,11,south,rough,2室2卫，面积 110 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-14
25,Yubei 南北通透户型,Chongqing,Yubei,Yubei,2,2,57,1814,11,south,rough,2室2卫，面积 57 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-10
26,精致 Huangpu 公寓,Shanghai,Huangpu,Huangpu,2,1,104,11505,28,south,rough,2室1卫，面积 104 平米，rough装修，south朝向，拎包入住。,available,0,2022-04-25
27,Nanshan 拎包入住公寓,Shenzhen,Nanshan,Nanshan,2,1,65,4551,27,east,simple,2室1卫，面积 65 平米，simple装修，east朝向，拎包入住。,available,0,2022-06-13
28,Hannan 舒适两居室,Wuhan,Hannan,Hannan,2,1,48,3783,23,south,simple,2室1卫，面积 48 平米，simple装修，south朝向，拎包入住。,available,0,2022-05-06
29,Xi'an Beilin 地铁房,Xi'an,Beilin,Beilin,1,1,70,3003,29,west,fine,1室1卫，面积 70 平米，fine装修，west朝向，拎包入住。,available,0,2022-06-08
30,精致 Liuhe 公寓,Nanjing,Liuhe,Liuhe,1,1,47,4647,20,south,fine,1室1卫，面积 47 平米，fine装修，south朝向，拎包入住。,available,0,2022-06-08
31,Yuexiu 舒适两居室,Guangzhou,Yuexiu,Yuexiu,1,1,38,2976,19,west,rough,1室1卫，面积 38 平米，rough装修，west朝向，拎包入住。,available,0,2022-05-06
32,Hangzhou Qiantang 地铁房,Hangzhou,Qiantang,Qiantang,1,1,34,2289,31,south,simple,1室1卫，面积 34 平米，simple装修，south朝向，拎包入住。,available,0,2022-06-30
33,Daxing 拎包入住公寓,Beijing,Daxing,Daxing,2,1,120,18772,8,south,rough,2室1卫，面积 120 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-24
34,Chengdu Jinjiang 地铁房,Chengdu,Jinjiang,Jinjiang,1,2,39,2621,15,west,fine,1室2卫，面积 39 平米，fine装修，west朝向，拎包入住。,available,0,2022-07-01
35,Yunan 舒适两居室,Chongqing,Yunan,Yunan,2,1,115,3767,34,north,rough,2室1卫，面积 115 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-17
36,Shanghai Huangpu 地铁房,Shanghai,Huangpu,Huangpu,2,1,108,16236,17,west,simple,2室1卫，面积 108 平米，simple装修，west朝向，拎包入住。,available,0,2022-06-26
37,Dapeng 拎包入住公寓,Shenzhen,Dapeng,Dapeng,2,1,65,5326,27,north,simple,2室1卫，面积 65 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-23
38,Dongxihu 拎包入住公寓,Wuhan,Dongxihu,Dongxihu,2,2,105,10696,34,south,simple,2室2卫，面积 105 平米，simple装修，south朝向，拎包入住。,available,0,2022-06-13
39,出租 Weiyang 精装房,Xi'an,Weiyang,Weiyang,2,2,114,5153,20,south,rough,2室2卫，面积 114 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-11
40,Nanjing Jianye 地铁房,Nanjing,Jianye,Jianye,3,2,101,8428,31,east,simple,3室2卫，面积 101 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-26
41,精致 Haizhu 公寓,Guangzhou,Haizhu,Haizhu,2,1,80,4277,20,north,rough,2室1卫，面积 80 平米，rough装修，north朝向，拎包入住。,available,0,2022-04-25
42,精致 Binjiang 公寓,Hangzhou,Binjiang,Binjiang,1,1,34,4451,35,west,simple,1室1卫，面积 34 平米，simple装修，west朝向，拎包入住。,available,0,2022-05-11
43,Dongcheng 舒适两居室,Beijing,Dongcheng,Dongcheng,2,2,56,7505,12,west,rough,2室2卫，面积 56 平米，rough装修，west朝向，拎包入住。,available,0,2022-05-06
44,Wenjiang 舒适两居室,Chengdu,Wenjiang,Wenjiang,2,2,112,10585,12,south,fine,2室2卫，面积 112 平米，fine装修，south朝向，拎包入住。,available,0,2022-05-10
45,Yubei 南北通透户型,Chongqing,Yubei,Yubei,2,1,57,2002,22,north,simple,2室1卫，面积 57 平米，simple装修，north朝向，拎包入住。,available,0,2022-05-21
46,Xuhui 南北通透户型,Shanghai,Xuhui,Xuhui,2,1,67,8808,6,north,rough,2室1卫，面积 67 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-12
47,ShenzhenYantian 温馨好房,Shenzhen,Yantian,Yantian,2,2,53,6232,27,east,fine,2室2卫，面积 53 平米，fine装修，east朝向，拎包入住。,available,0,2022-06-05
48,Jiangxia 学区房出租,Wuhan,Jiangxia,Jiangxia,2,2,82,3555,18,east,rough,2室2卫，面积 82 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-25
49,Beilin 拎包入住公寓,Xi'an,Beilin,Beilin,2,2,120,4525,35,south,rough,2室2卫，面积 120 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-11
50,Pukou 舒适两居室,Nanjing,Pukou,Pukou,3,1,130,5409,29,north,rough,3室1卫，面积 130 平米，rough装修，north朝向，拎包入住。,available,0,2022-07-04
51,GuangzhouZengcheng 温馨好房,Guangzhou,Zengcheng,Zengcheng,2,1,78,7497,29,south,rough,2室1卫，面积 78 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-10
